optimizer,lr,lr_decay,final_train_acc,final_val_acc,final_train_loss,final_val_loss,test_acc,test_loss
SGD,0.01,0.9,0.7767857142857143,0.7541666666666667,11.313120156526566,5.275320291519165,0.85,1.521270513534546
SGD,0.01,0.7,0.875,0.825,6.774016052484512,4.27097824215889,0.8666666666666667,1.679160237312317
SGD,0.01,0.5,0.8642857142857143,0.8291666666666667,6.608407109975815,4.799147516489029,0.8666666666666667,1.6923038959503174
SGD,0.005,0.9,0.8696428571428572,0.8333333333333334,6.885770201683044,4.3562140464782715,0.8833333333333333,1.6622187495231628
SGD,0.005,0.7,0.8267857142857142,0.8333333333333334,8.288017958402634,4.136690616607666,0.8666666666666667,1.4901306331157684
SGD,0.005,0.5,0.8178571428571428,0.8,8.567457258701324,4.772270172834396,0.85,1.675019919872284
Adam,0.001,0.9,0.9267857142857143,0.8833333333333333,3.5395530834794044,3.478250741958618,0.8833333333333333,1.687737599015236
Adam,0.001,0.7,0.9303571428571429,0.85,3.8361354544758797,4.992102742195129,0.8833333333333333,2.1624503433704376
Adam,0.001,0.5,0.9214285714285714,0.8625,3.264310210943222,4.423702955245972,0.85,2.415417641401291
Adam,0.0005,0.9,0.9339285714285714,0.8875,3.999856472015381,3.7265342622995377,0.9166666666666666,2.024598389863968
Adam,0.0005,0.7,0.9196428571428571,0.85,4.267494410276413,4.469320476055145,0.8333333333333334,2.370201349258423
Adam,0.0005,0.5,0.9053571428571429,0.8625,5.344489634037018,3.5881983041763306,0.9166666666666666,1.7556217312812805
AdamW,0.001,0.9,0.9392857142857143,0.8625,3.70561770349741,4.130305841565132,0.9,2.213671386241913
AdamW,0.001,0.7,0.9232142857142858,0.8416666666666667,4.369000665843487,4.992902994155884,0.7666666666666667,2.371590316295624
AdamW,0.001,0.5,0.9178571428571428,0.8583333333333333,4.1865419670939445,3.988540440797806,0.8833333333333333,1.7210875153541565
AdamW,0.0005,0.9,0.9089285714285714,0.875,4.110186994075775,3.920015126466751,0.8833333333333333,1.6095120012760162
AdamW,0.0005,0.7,0.9267857142857143,0.85,4.368146561086178,4.922692567110062,0.85,2.154593378305435
AdamW,0.0005,0.5,0.9035714285714286,0.8541666666666666,4.610665924847126,3.8192108720541,0.8666666666666667,1.5784712731838226
